Symbol,Name,Exchange,Sector,Industry
AGNCP,American Capital Agency Corp.,NYSE,Consumer Services,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd.,NASDAQ,Finance,Property-Casualty Insurers
AGR,Avangrid Inc.,NASDAQ,Public Utilities,Electric Utilities: Central
AGRO,Adecoagro S.A.,NASDAQ,Consumer Non-Durables,Farming/Seeds/Milling
AGRX,Agile Therapeutics Inc.,NYSE,Health Care,Major Pharmaceuticals
AGTC,Applied Genetic Technologies Corporation,NYSE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGU,Agrium Inc.,NASDAQ,Basic Industries,Agricultural Chemicals
AGX,Argan Inc.,NASDAQ,Basic Industries,Engineering & Construction
AGYS,Agilysys Inc.,NYSE,Technology,EDP Services
AHC,A.H. Belo Corporation,NASDAQ,Consumer Services,Newspapers/Magazines
AHGP,Alliance Holdings GP L.P.,NYSE,Energy,Coal Mining
AHH,Armada Hoffler Properties Inc.,NASDAQ,Finance,Real Estate
AHL,Aspen Insurance Holdings Limited,NASDAQ,Finance,Property-Casualty Insurers
AHP,Ashford Hospitality Prime Inc.,NASDAQ,Consumer Services,Real Estate Investment Trusts
AHPI,Allied Healthcare Products Inc.,NYSE,Health Care,Industrial Specialties
AHS,AMN Healthcare Services Inc,NASDAQ,Technology,Professional Services
AHT,Ashford Hospitality Trust Inc,NASDAQ,Consumer Services,Real Estate Investment Trusts
AI,Arlington Asset Investment Corp,NASDAQ,Finance,Finance/Investors Services
AIC,Arlington Asset Investment Corp,NASDAQ,Finance,Finance/Investors Services
AIG,American International Group Inc.,NASDAQ,Finance,Property-Casualty Insurers
AIII,ACRE Realty Investors Inc.,AMEX,Consumer Services,Real Estate Investment Trusts
AIMC,Altra Industrial Motion Corp.,NYSE,Capital Goods,Industrial Machinery/Components
AIMT,Aimmune Therapeutics Inc.,NYSE,Health Care,Major Pharmaceuticals
AIN,Albany International Corporation,NASDAQ,Basic Industries,Textiles
AINC,Ashford Inc.,AMEX,Consumer Services,Professional Services
AIQ,Alliance HealthCare Services Inc.,NYSE,Health Care,Medical Specialities
AIR,AAR Corp.,NASDAQ,Capital Goods,Aerospace
AIRI,Air Industries Group,AMEX,Capital Goods,Military/Government/Technical
AIRM,Air Methods Corporation,NYSE,Transportation,Transportation Services
AIRT,Air T Inc.,NYSE,Transportation,Air Freight/Delivery Services
AIT,Applied Industrial Technologies Inc.,NASDAQ,Consumer Durables,Industrial Specialties
AIV,Apartment Investment and Management Company,NASDAQ,Consumer Services,Real Estate Investment Trusts
AIW,Arlington Asset Investment Corp,NASDAQ,Finance,Finance/Investors Services
AIXG,Aixtron SE,NYSE,Technology,Industrial Machinery/Components
AIZ,Assurant Inc.,NASDAQ,Finance,Accident &Health Insurance
AJG,Arthur J. Gallagher & Co.,NASDAQ,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc.,NASDAQ,Capital Goods,Military/Government/Technical
AJX,Great Ajax Corp.,NASDAQ,Consumer Services,Real Estate Investment Trusts
AKAM,Akamai Technologies Inc.,NYSE,Miscellaneous,Business Services
AKAO,Achaogen Inc.,NYSE,Health Care,Major Pharmaceuticals
AKBA,Akebia Therapeutics Inc.,NYSE,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,NYSE,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKG,Asanko Gold Inc.,AMEX,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AKR,Acadia Realty Trust,NASDAQ,Consumer Services,Real Estate Investment Trusts
AKRX,Akorn Inc.,NYSE,Health Care,Major Pharmaceuticals
AKS,AK Steel Holding Corporation,NASDAQ,Basic Industries,Steel/Iron Ore
AKTX,Akari Therapeutics Plc,NYSE,Health Care,Major Pharmaceuticals
AL,Air Lease Corporation,NASDAQ,Technology,Diversified Commercial Services
ALB,Albemarle Corporation,NASDAQ,Basic Industries,Major Chemicals
ALCO,Alico Inc.,NYSE,Consumer Non-Durables,Farming/Seeds/Milling
ALDR,Alder BioPharmaceuticals Inc.,NYSE,Health Care,Major Pharmaceuticals
ALDW,Alon USA Partners LP,NASDAQ,Energy,Integrated oil Companies
ALDX,Aldeyra Therapeutics Inc.,NYSE,Health Care,Major Pharmaceuticals
ALE,Allete Inc.,NASDAQ,Public Utilities,Power Generation
ALEX,Alexander & Baldwin Holdings Inc.,NASDAQ,Finance,Real Estate
ALG,Alamo Group Inc.,NASDAQ,Capital Goods,Industrial Machinery/Components
ALGN,Align Technology Inc.,NYSE,Health Care,Industrial Specialties
ALGT,Allegiant Travel Company,NYSE,Transportation,Air Freight/Delivery Services
ALIM,Alimera Sciences Inc.,NYSE,Health Care,Major Pharmaceuticals
ALJ,Alon USA Energy Inc.,NASDAQ,Energy,Integrated oil Companies
ALK,Alaska Air Group Inc.,NASDAQ,Transportation,Air Freight/Delivery Services
ALKS,Alkermes plc,NYSE,Health Care,Major Pharmaceuticals
ALL,Allstate Corporation (The),NASDAQ,Finance,Property-Casualty Insurers
ALLE,Allegion plc,NASDAQ,Consumer Services,Diversified Commercial Services
ALLT,Allot Communications Ltd.,NYSE,Technology,Computer Communications Equipment
ALLY,Ally Financial Inc.,NASDAQ,Finance,Finance: Consumer Services
ALN,American Lorain Corporation,AMEX,Consumer Non-Durables,Packaged Foods
ALNY,Alnylam Pharmaceuticals Inc.,NYSE,Health Care,Major Pharmaceuticals
ALOG,Analogic Corporation,NYSE,Capital Goods,Electrical Products
ALOT,Astro-Med Inc.,NYSE,Technology,Computer peripheral equipment
ALQA,Alliqua BioMedical Inc.,NYSE,Health Care,Medical/Dental Instruments
ALR,Alere Inc.,NASDAQ,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ALRM,Alarm.com Holdings Inc.,NYSE,Technology,Computer Software: Prepackaged Software
ALSK,Alaska Communications Systems Group Inc.,NYSE,Public Utilities,Telecommunications Equipment
ALSN,Allison Transmission Holdings Inc.,NASDAQ,Capital Goods,Auto Parts:O.E.M.
ALV,Autoliv Inc.,NASDAQ,Capital Goods,Auto Parts:O.E.M.
ALX,Alexander's Inc.,NASDAQ,Consumer Services,Real Estate Investment Trusts
ALXA,Alexza Pharmaceuticals Inc.,NYSE,Health Care,Major Pharmaceuticals
ALXN,Alexion Pharmaceuticals Inc.,NYSE,Health Care,Major Pharmaceuticals
AM,Antero Midstream Partners LP,NASDAQ,Public Utilities,Natural Gas Distribution
AMAG,AMAG Pharmaceuticals Inc.,NYSE,Health Care,Major Pharmaceuticals
AMAT,Applied Materials Inc.,NYSE,Technology,Semiconductors
AMBA,Ambarella Inc.,NYSE,Technology,Semiconductors
AMBC,Ambac Financial Group Inc.,NYSE,Finance,Property-Casualty Insurers
AMBCW,Ambac Financial Group Inc.,NYSE,Finance,Property-Casualty Insurers
AMBR,Amber Road Inc.,NASDAQ,Technology,Computer Software: Prepackaged Software
AMC,AMC Entertainment Holdings Inc.,NASDAQ,Consumer Services,Movies/Entertainment
AMCC,Applied Micro Circuits Corporation,NYSE,Technology,Semiconductors
AMCN,AirMedia Group Inc,NYSE,Technology,Advertising
AMCO,Armco Metals Holdings Inc.,AMEX,Consumer Durables,Steel/Iron Ore
AMCX,AMC Networks Inc.,NYSE,Consumer Services,Television Services
AMD,Advanced Micro Devices Inc.,NYSE,Technology,Semiconductors
AMDA,Amedica Corporation,NYSE,Health Care,Medical/Dental Instruments
AME,AMTEK Inc.,NASDAQ,Consumer Durables,Metal Fabrications
AMED,Amedisys Inc,NYSE,Health Care,Medical/Nursing Services
AMFW,Amec Plc Ord,NASDAQ,Consumer Services,Military/Government/Technical
AMG,Affiliated Managers Group Inc.,NASDAQ,Finance,Investment Managers
AMGN,Amgen Inc.,NYSE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMH,American Homes 4 Rent,NASDAQ,Consumer Services,Real Estate Investment Trusts
AMIC,American Independence Corp.,NYSE,Finance,Accident &Health Insurance
AMID,American Midstream Partners LP,NASDAQ,Public Utilities,Natural Gas Distribution
AMKR,Amkor Technology Inc.,NYSE,Technology,Semiconductors
AMNB,American National Bankshares Inc.,NYSE,Finance,Major Banks
AMOT,Allied Motion Technologies Inc.,NYSE,Capital Goods,Electrical Products
AMOV,America Movil S.A.B. de C.V.,NYSE,Public Utilities,Telecommunications Equipment
AMP,AMERIPRISE FINANCIAL SERVICES INC.,NASDAQ,Finance,Investment Managers
AMPE,Ampio Pharmaceuticals Inc.,AMEX,Health Care,Major Pharmaceuticals
AMPH,Amphastar Pharmaceuticals Inc.,NYSE,Health Care,Major Pharmaceuticals
AMRB,American River Bankshares,NYSE,Finance,Major Banks
AMRC,Ameresco Inc.,NASDAQ,Basic Industries,Engineering & Construction
AMRI,Albany Molecular Research Inc.,NYSE,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AMRK,A-Mark Precious Metals Inc.,NYSE,Basic Industries,Other Specialty Stores
AMRN,Amarin Corporation PLC,NYSE,Health Care,Major Pharmaceuticals
AMRS,Amyris Inc.,NYSE,Basic Industries,Major Chemicals
AMS,American Shared Hospital Services,AMEX,Health Care,Medical Specialities
AMSC,American Superconductor Corporation,NYSE,Consumer Durables,Metal Fabrications
AMSF,AMERISAFE Inc.,NYSE,Finance,Property-Casualty Insurers
AMSG,Amsurg Corp.,NYSE,Health Care,Medical/Nursing Services
AMSGP,Amsurg Corp.,NYSE,Health Care,Medical/Nursing Services
AMSWA,American Software Inc.,NYSE,Technology,Computer Software: Prepackaged Software
AMT,American Tower Corporation (REIT),NASDAQ,Consumer Services,Real Estate Investment Trusts
AMTD,TD Ameritrade Holding Corporation,NYSE,Finance,Investment Bankers/Brokers/Service
AMTG,Apollo Residential Mortgage Inc.,NASDAQ,Consumer Services,Real Estate Investment Trusts
AMTX,Aemetis Inc,NYSE,Basic Industries,Major Chemicals
AMWD,American Woodmark Corporation,NYSE,Basic Industries,Forest Products
AMX,America Movil S.A.B. de C.V.,NASDAQ,Public Utilities,Telecommunications Equipment
AMZN,Amazon.com Inc.,NYSE,Consumer Services,Catalog/Specialty Distribution
AN,AutoNation Inc.,NASDAQ,Consumer Durables,Automotive Aftermarket
ANAC,Anacor Pharmaceuticals Inc.,NYSE,Health Care,Major Pharmaceuticals
ANAT,American National Insurance Company,NYSE,Finance,Life Insurance
ANCB,Anchor Bancorp,NYSE,Finance,Banks
ANCX,Access National Corporation,NYSE,Finance,Savings Institutions
ANDA,Andina Acquisition Corp. II,NYSE,Finance,Business Services
ANDAR,Andina Acquisition Corp. II,NYSE,Finance,Business Services
ANDAU,Andina Acquisition Corp. II,NYSE,Finance,Business Services
